# HPSC COVID-19 14-day Epidemiology Reports
# https://www.hpsc.ie/a-z/respiratory/coronavirus/novelcoronavirus/surveillance/covid-1914-dayepidemiologyreports/
# Data copied from 'Table 5/6: Cumulative number of confirmed cases of COVID-19 notified in Ireland from <start date> to midnight <start date + 13 days> by age group, hospitalisation and ICU admission*'
#   * 'The number of cases hospitalised and admitted to ICU relate only to events notified in the last 14 days and do not include cases notified prior to this and admitted to hospital or ICU in the last 14 days'
#
# Following modifications have been made:
# 1) Where 'Cases admitted to ICU (n)' is '<5', and no value is specified for 'Cases admitted to ICU (%)', a value of zero has been set for the former.
# 2) Where 'Cases admitted to ICU (n)' is '<5', and a value is specified for 'Cases admitted to ICU (%)', the former has been manually calculated.
# 3) ' yrs' has been removed from the 'Age Group (years)' column values
# 4) 'Date' is the date of each report
# 5) The 'Unknown' age group rows have not been copied yet for all reports. However, these contain small values, and may be copied at a later date.
"Date" "Age Group (years)" "Number of cases (n)" "Cases hospitalised (n)" "Cases hospitalised (%)" "Cases admitted to ICU (n)" "Cases admitted to ICU (%)"
2021-03-21 13-18 626 10 2.65 0 0
2021-03-21 19-24 834 23 6.10 0 0
2021-03-21 25-34 1229 24 6.37 0 0
2021-03-21 35-44 1258 38 10.08 0 0
2021-03-21 45-54 861 42 11.14 8 34.78
2021-03-21 55-64 547 42 11.14 0 8.7
2021-03-21 65-74 349 67 17.77 7 30.43
2021-03-21 75-84 208 78 20.69 0 0
2021-03-21 85+ 81 37 9.81 0 0
2021-03-22 0-4 602 9 2.49 0 0
2021-03-22 5-12 883 6 1.66 0 0
2021-03-22 13-18 639 10 2.77 0 0
2021-03-22 19-24 810 20 5.54 0 0
2021-03-22 25-34 1249 27 7.48 0 0
2021-03-22 35-44 1268 32 8.86 0 0
2021-03-22 45-54 862 39 10.80 7 31.82
2021-03-22 55-64 541 39 10.80 0 0
2021-03-22 65-74 337 67 18.56 6 27.27
2021-03-22 75-84 207 73 20.22 0 0
2021-03-22 85+ 83 39 10.80 0 0
2021-03-23 0-4 612 8 2.20 0 0
2021-03-23 5-12 926 8 2.20 0 0.00
2021-03-23 13-18 648 12 3.31 0 0.00
2021-03-23 19-24 790 22 6.06 0 0
2021-03-23 25-34 1260 27 7.44 0 0
2021-03-23 35-44 1293 39 10.74 0 0
2021-03-23 45-54 852 36 9.92 8 29.63
2021-03-23 55-64 543 36 9.92 0 0
2021-03-23 65-74 330 66 18.18 9 33.33
2021-03-23 75-84 204 73 20.11 1 3.70
2021-03-23 85+ 80 36 9.92 1 3.70
2021-03-24 0-4 621 7 1.94 0 0
2021-03-24 5-12 965 9 2.50 0 0.00
2021-03-24 13-18 633 13 3.61 0 0.00
2021-03-24 19-24 759 18 5.00 0 0.00
2021-03-24 25-34 1261 27 7.50 0 0
2021-03-24 35-44 1331 42 11.67 0 0
2021-03-24 45-54 832 33 9.17 8 33.33
2021-03-24 55-64 560 37 10.28 3 12.5
2021-03-24 65-74 331 67 18.61 7 29.17
2021-03-24 75-84 209 71 19.72 0 0
2021-03-24 85+ 84 36 10.00 0 0
2021-03-25 0-4 628 7 1.94 1 4.35
2021-03-25 5-12 1003 10 2.77 0 0
2021-03-25 13-18 612 11 3.05 0 0
2021-03-25 19-24 741 14 3.88 0 0
2021-03-25 25-34 1268 27 7.48 2 8.70
2021-03-25 35-44 1343 42 11.63 2 8.70
2021-03-25 45-54 818 33 9.14 8 34.78
2021-03-25 55-64 564 37 10.25 3 13.04
2021-03-25 65-74 332 67 18.56 6 26.09
2021-03-25 75-84 204 74 20.50 1 4.35
2021-03-25 85+ 84 39 10.80 0 0
2021-03-26 0-4 646 7 1.93 1 5
2021-03-26 5-12 991 10 2.76 0 0
2021-03-26 13-18 588 12 3.31 0 0
2021-03-26 19-24 711 16 4.42 0 0
2021-03-26 25-34 1242 28 7.73 2 10
2021-03-26 35-44 1356 39 10.77 2 10
2021-03-26 45-54 815 27 7.46 5 25
2021-03-26 55-64 553 45 12.43 4 20
2021-03-26 65-74 337 71 19.61 5 25
2021-03-26 75-84 208 72 19.89 1 5
2021-03-26 85+ 83 35 9.67 0 0
2021-03-28 0-4 721 9 2.50 0 0
2021-03-28 5-12 1050 8 2.22 0 0
2021-03-28 13-18 623 11 3.06 0 0
2021-03-28 19-24 688 9 2.50 0 0
2021-03-28 25-34 1282 22 6.11 0 0
2021-03-28 35-44 1424 41 11.39 0 0
2021-03-28 45-54 870 29 8.06 0 0
2021-03-28 55-64 555 47 13.06 0 0
2021-03-28 65-74 337 75 20.83 5 31.25
2021-03-28 75-84 201 74 20.56 0 0
2021-03-28 85+ 83 35 9.72 0 0
2021-03-29 0-4 721 10 2.85 0 0
2021-03-29 5-12 1057 8 2.28 0 0
2021-03-29 13-18 617 11 3.13 0 0
2021-03-29 19-24 671 8 2.28 0 0
2021-03-29 25-34 1266 20 5.70 0 0
2021-03-29 35-44 1430 41 11.68 0 0
2021-03-29 45-54 863 27 7.69 0 0
2021-03-29 55-64 563 45 12.82 0 0
2021-03-29 65-74 332 76 21.65 5 35.71
2021-03-29 75-84 199 70 19.94 0 0
2021-03-29 85+ 77 35 9.97 0 0
2021-03-30 0-4 722 10 3.01 0 0
2021-03-30 5-12 1059 9 2.71 0 0
2021-03-30 13-18 623 10 3.01 0 0
2021-03-30 19-24 671 8 2.41 0 0
2021-03-30 25-34 1261 22 6.63 0 0
2021-03-30 35-44 1429 39 11.75 0 0
2021-03-30 45-54 886 27 8.13 0 0
2021-03-30 55-64 567 43 12.95 0 0
2021-03-30 65-74 332 71 21.39 6 30
2021-03-30 75-84 192 59 17.77 0 0
2021-03-30 85+ 74 34 10.24 0 0
2021-03-31 0-4 677 8 2.47 0 0
2021-03-31 5-12 1040 9 2.78 0 0
2021-03-31 13-18 611 9 2.78 0 0
2021-03-31 19-24 663 8 2.47 0 0
2021-03-31 25-34 1220 21 6.48 0 0
2021-03-31 35-44 1430 39 12.04 0 0
2021-03-31 45-54 885 29 8.95 6 21.43
2021-03-31 55-64 562 46 14.20 7 25.00
2021-03-31 65-74 320 63 19.44 5 17.86
2021-03-31 75-84 188 57 17.59 5 17.86
2021-03-31 85+ 73 35 10.80 0 0
2021-04-01 0-4 690 8 2.45 0 0
2021-04-01 5-12 1063 10 3.06 0 0
2021-04-01 13-18 615 8 2.45 0 0
2021-04-01 19-24 690 7 2.14 0 0
2021-04-01 25-34 1240 21 6.42 0 0
2021-04-01 35-44 1463 38 11.62 5 20.00
2021-04-01 45-54 905 31 9.48 5 20.00
2021-04-01 55-64 584 51 15.60 6 24.00
2021-04-01 65-84 526 117 35.78 9 36.00
2021-04-01 85+ 75 36 11.01 0 0
2021-04-02 0-4 692 8 2.42 0 0
2021-04-02 5-12 1080 10 3.03 0 0
2021-04-02 13-18 615 8 2.42 0 0
2021-04-02 19-24 715 7 2.12 0 0
2021-04-02 25-34 1255 21 6.36 0 0
2021-04-02 35-44 1472 37 11.21 0 0
2021-04-02 45-54 915 33 10.00 0 0
2021-04-02 55-64 594 50 15.15 5 26.32
2021-04-02 65-74 328 56 16.97 0 0
2021-04-02 75-84 197 63 19.09 0 0
2021-04-02 85+ 72 37 11.21 0 0
2021-04-06 0-4 574 10 3.68 0 0
2021-04-06 5-12 1027 7 2.57 0 0
2021-04-06 13-18 558 5 1.84 0 0
2021-04-06 19-24 762 7 2.57 0 0
2021-04-06 25-34 1172 22 8.09 0 0
2021-04-06 35-44 1407 39 14.34 0 0
2021-04-06 45-54 892 32 11.76 0 0
2021-04-06 55-64 579 36 13.24 0 0
2021-04-06 65-74 306 44 16.18 0 0
2021-04-06 75-84 146 42 15.44 0 0
2021-04-06 85+ 59 28 10.29 0 0
2021-04-07 0-4 547 9 3.33 0 0
2021-04-07 5-12 999 6 2.22 0 0
2021-04-07 13-18 550 5 1.85 0 0
2021-04-07 19-24 742 8 2.96 0 0
2021-04-07 25-34 1115 22 8.15 0 0.00
2021-04-07 35-44 1341 40 14.81 0 0
2021-04-07 45-54 869 37 13.70 5 29.41
2021-04-07 55-64 562 31 11.48 0 0
2021-04-07 65-74 300 45 16.67 0 0
2021-04-07 75-84 142 41 15.19 0 0
2021-04-07 85+ 53 26 9.63 0 0
